stt,file_path,duration
4,\\MINGSEO2\Khay den\ASMR 2.0\103CA\103CA.mp4,2:40
1,\\MINGSEO2\Khay den\ASMR 2.0\100CC\100CC.mp4,4:19
6,\\MINGSEO2\Khay den\ASMR 2.0\105CA\105CA.mp4,2:37
8,\\MINGSEO2\Khay den\ASMR 2.0\108CE\108CE.mp4 sua lai.mp4,5:44
5,\\MINGSEO2\Khay den\ASMR 2.0\104CA\104CA.mp4,3:46
2,\\MINGSEO2\Khay den\ASMR 2.0\101CC\101CC.mp4,4:04
3,\\MINGSEO2\Khay den\ASMR 2.0\102CA\102CA.mp4,4:30
7,\\MINGSEO2\Khay den\ASMR 2.0\106CE\106CE.mp4,4:33
9,\\MINGSEO2\Khay den\ASMR 2.0\110CA\110CA.mp4,5:03
13,\\MINGSEO2\Khay den\ASMR 2.0\114CC\114CC.mp4,4:40
10,\\MINGSEO2\Khay den\ASMR 2.0\111CA\111CA.mp4,3:07
12,\\MINGSEO2\Khay den\ASMR 2.0\113CC\113CC.mp4,5:18
11,\\MINGSEO2\Khay den\ASMR 2.0\112CA\112CA.mp4,4:17
14,\\MINGSEO2\Khay den\ASMR 2.0\115CC\115CC.mp4,4:11
15,\\MINGSEO2\Khay den\ASMR 2.0\116CA\116CA.mp4,4:28
16,\\MINGSEO2\Khay den\ASMR 2.0\117CA\117CA.mp4,4:47
17,\\MINGSEO2\Khay den\ASMR 2.0\118CA\118CA.mp4,4:18
19,\\MINGSEO2\Khay den\ASMR 2.0\120CC\120CC.mp4,5:05
22,\\MINGSEO2\Khay den\ASMR 2.0\122CE\122CE.mp4,3:37
24,\\MINGSEO2\Khay den\ASMR 2.0\124CE\124CE.mp4,2:27
18,\\MINGSEO2\Khay den\ASMR 2.0\119CC\119CC.mp4,6:32
21,\\MINGSEO2\Khay den\ASMR 2.0\121CC\121CC.mp4,5:30
20,\\MINGSEO2\Khay den\ASMR 2.0\120CC\121CC.mp4,5:30
23,\\MINGSEO2\Khay den\ASMR 2.0\123CE\123CE.mp4,4:07
27,\\MINGSEO2\Khay den\ASMR 2.0\127CC-Hiếu\127CC-Hiếu.mp4,4:48
26,\\MINGSEO2\Khay den\ASMR 2.0\126CC\126CC.mp4,5:30
25,\\MINGSEO2\Khay den\ASMR 2.0\125CC\125CC.mp4,5:30
28,\\MINGSEO2\Khay den\ASMR 2.0\128CC-Hiếu\128CC-Hiếu.mp4,4:41
31,\\MINGSEO2\Khay den\ASMR 2.0\131CC-Hiếu\131CC-Hiếu.mp4,4:52
32,\\MINGSEO2\Khay den\ASMR 2.0\132CD\132CD.mp4,3:59
30,\\MINGSEO2\Khay den\ASMR 2.0\130CC-Hiếu\130CC-Hiếu.mp4,5:44
29,\\MINGSEO2\Khay den\ASMR 2.0\129CC-Hiếu\129CC-Hiếu.mp4,4:43
34,\\MINGSEO2\Khay den\ASMR 2.0\134CE\134CE.mp4,5:34
33,\\MINGSEO2\Khay den\ASMR 2.0\133CE\133CE.mp4,4:48
36,\\MINGSEO2\Khay den\ASMR 2.0\136CD\136CD.mp4,4:32
37,\\MINGSEO2\Khay den\ASMR 2.0\137CD\137CD.mp4,4:11
35,\\MINGSEO2\Khay den\ASMR 2.0\135CE\135CE.mp4,6:07
40,\\MINGSEO2\Khay den\ASMR 2.0\140CD\140CD.mp4,4:31
38,\\MINGSEO2\Khay den\ASMR 2.0\138CD\138CD.mp4,4:53
39,\\MINGSEO2\Khay den\ASMR 2.0\139CD\139CD.mp4,4:01
42,\\MINGSEO2\Khay den\ASMR 2.0\142CD\142CD_.mp4,4:52
43,\\MINGSEO2\Khay den\ASMR 2.0\143CC\143CC.mp4,3:35
41,\\MINGSEO2\Khay den\ASMR 2.0\141CD\141CD.mp4,3:36
44,\\MINGSEO2\Khay den\ASMR 2.0\144CC\144CC.mp4,3:55
47,\\MINGSEO2\Khay den\ASMR 2.0\147CD\147CD.mp4,3:57
45,\\MINGSEO2\Khay den\ASMR 2.0\145CD\145CD.mp4,2:59
46,\\MINGSEO2\Khay den\ASMR 2.0\146CD\146CD.mp4,2:31
48,\\MINGSEO2\Khay den\ASMR 2.0\148CD\148CD.mp4,5:12
49,\\MINGSEO2\Khay den\ASMR 2.0\149CD\149CD.mp4,4:22
51,\\MINGSEO2\Khay den\ASMR 2.0\151AD\151AD.mp4,3:22
50,\\MINGSEO2\Khay den\ASMR 2.0\150CD\150CD.mp4,4:15
54,\\MINGSEO2\Khay den\ASMR 2.0\154CD\154CD.mp4,4:13
52,\\MINGSEO2\Khay den\ASMR 2.0\152AD\152AD.mp4,2:40
53,\\MINGSEO2\Khay den\ASMR 2.0\153CD\153CD.mp4,3:03
55,\\MINGSEO2\Khay den\ASMR 2.0\155CC\155CC.mp4,4:48
56,\\MINGSEO2\Khay den\ASMR 2.0\156CC\156CC.mp4,5:00
57,\\MINGSEO2\Khay den\ASMR 2.0\157CC\157CC.mp4,2:33
59,\\MINGSEO2\Khay den\ASMR 2.0\159CC\159CC.mp4,4:56
58,\\MINGSEO2\Khay den\ASMR 2.0\158CC\158CC.mp4,3:15
60,\\MINGSEO2\Khay den\ASMR 2.0\160CC\160CC.mp4,3:59
62,\\MINGSEO2\Khay den\ASMR 2.0\162CC\162CC.mp4,3:27
61,\\MINGSEO2\Khay den\ASMR 2.0\161CC\161CC.mp4,4:07
63,\\MINGSEO2\Khay den\ASMR 2.0\163CC\163CC.mp4,3:19
67,\\MINGSEO2\Khay den\ASMR 2.0\167CC\167CC.mp4,4:35
64,\\MINGSEO2\Khay den\ASMR 2.0\164CC\164CC.mp4,2:41
65,\\MINGSEO2\Khay den\ASMR 2.0\165CC\165CC.mp4,5:29
66,\\MINGSEO2\Khay den\ASMR 2.0\166CC\166CC.mp4,3:39
71,\\MINGSEO2\Khay den\ASMR 2.0\171DD\171DD.mp4,6:59
68,\\MINGSEO2\Khay den\ASMR 2.0\168CC\168CC.mp4,2:23
69,\\MINGSEO2\Khay den\ASMR 2.0\169DD\169DD.mp4,3:52
70,\\MINGSEO2\Khay den\ASMR 2.0\170DD\170DD.mp4,4:33
72,\\MINGSEO2\Khay den\ASMR 2.0\172LD\172LD.mp4,4:29
75,\\MINGSEO2\Khay den\ASMR 2.0\175LC\175CC.mp4,6:08
74,\\MINGSEO2\Khay den\ASMR 2.0\174LC\174LC.mp4,7:53
73,\\MINGSEO2\Khay den\ASMR 2.0\173LD\173LD.mp4,3:34
78,\\MINGSEO2\Khay den\ASMR 2.0\179LC\179LC.mp4,4:26
